Sample day,Sample time,VWC,ADC2,Temperature,Relative humidity,Solar irradiance,CJT,Granier Delta T,Heater State,Bat (V)
2019-01-25,14:00:00,-1.92,12.68,19.80,59.60,697.10,22.22,1.58,0.00,4.94
2019-01-25,14:10:00,-1.92,12.67,20.10,58.80,667.50,22.34,1.63,0.00,4.94
2019-01-25,14:20:00,-1.92,12.70,19.70,59.70,636.40,22.22,1.62,0.00,4.94
2019-01-25,14:30:00,-1.92,12.66,20.60,55.80,605.80,22.45,1.68,0.00,4.94
2019-01-25,14:40:00,-1.92,12.70,19.90,58.40,597.90,22.38,1.71,0.00,4.94
2019-01-25,14:50:00,-1.92,12.71,19.80,56.50,578.60,22.30,1.71,0.00,4.94
2019-01-25,15:00:00,-1.92,12.69,19.80,52.90,553.80,22.18,1.73,0.00,4.94
2019-01-25,15:10:00,-1.92,12.71,19.20,56.60,527.20,21.96,1.73,0.00,4.94
2019-01-25,15:20:00,-1.92,12.71,20.10,51.40,487.90,21.92,1.74,0.00,4.94
2019-01-25,15:30:00,-1.92,12.71,19.60,56.00,455.30,21.69,1.72,0.00,4.94
2019-01-25,15:40:00,-1.92,12.69,19.60,55.80,420.30,21.47,1.79,0.00,4.94
2019-01-25,15:50:00,-1.92,12.74,18.50,58.90,392.80,21.04,1.86,0.00,4.94
2019-01-25,16:00:00,-1.92,12.74,19.40,57.80,347.60,20.77,1.95,0.00,4.94
2019-01-25,16:10:00,-1.92,12.74,18.60,57.80,317.60,20.41,2.06,0.00,4.94
2019-01-25,16:20:00,-1.92,12.76,18.90,58.00,278.90,19.96,2.10,0.00,4.94
2019-01-25,16:30:00,-1.92,12.83,18.80,57.70,233.10,19.46,2.11,0.00,4.94
2019-01-25,16:40:00,-1.92,12.83,17.60,60.40,214.40,18.60,2.11,0.00,4.94
2019-01-25,16:50:00,-1.92,12.71,16.60,63.90,170.50,17.61,1.92,0.00,4.94
2019-01-25,17:00:00,-1.92,12.43,15.90,64.90,129.60,16.68,1.85,0.00,4.94
2019-01-25,17:10:00,-1.92,12.20,15.20,67.20,81.80,15.94,1.83,0.00,4.94
2019-01-25,17:20:00,-1.92,12.01,13.80,71.60,9.50,15.03,1.88,0.00,4.94
2019-01-25,17:30:00,-1.92,11.98,12.20,76.30,5.70,13.99,1.92,0.00,4.94
2019-01-25,17:40:00,-1.92,11.96,10.90,85.00,3.00,13.16,1.96,0.00,4.94
2019-01-25,17:50:00,-1.92,11.94,9.90,88.20,1.10,12.39,1.98,0.00,4.94
2019-01-25,18:00:00,-1.92,11.93,9.20,99.90,0.60,11.69,1.99,0.00,4.94
2019-01-25,18:10:00,-1.92,11.93,8.90,99.90,0.00,11.07,1.96,0.00,4.94
2019-01-25,18:20:00,-1.92,11.91,8.80,99.90,0.00,10.78,1.96,0.00,4.94
2019-01-25,18:30:00,-1.92,11.90,8.40,99.90,0.00,10.38,1.95,0.00,4.94
2019-01-25,18:40:00,-1.92,11.89,8.00,99.90,0.00,9.98,1.96,0.00,4.94
2019-01-25,18:50:00,-1.92,11.87,7.70,99.90,0.00,9.47,1.94,0.00,4.94
2019-01-25,19:00:00,-1.92,11.87,7.40,99.90,0.00,9.12,1.89,0.00,4.94
2019-01-25,19:10:00,-1.92,11.87,7.50,99.90,0.00,8.84,1.90,0.00,4.94
2019-01-25,19:20:00,-1.91,11.86,7.20,99.90,0.00,8.69,1.84,0.00,4.94
2019-01-25,19:30:00,-1.92,11.85,6.50,99.90,0.00,8.21,1.82,0.00,4.95
2019-01-25,19:40:00,-1.92,11.85,7.40,99.90,0.00,8.23,1.81,0.00,4.95
2019-01-25,19:50:00,-1.92,11.83,7.80,99.90,0.00,8.63,1.78,0.00,4.95
2019-01-25,20:00:00,-1.92,11.82,7.50,99.90,0.00,8.50,1.71,0.00,4.95
2019-01-25,20:10:00,-1.92,11.82,7.30,99.90,0.00,8.24,1.71,0.00,4.95
2019-01-25,20:20:00,-1.92,11.82,6.10,99.90,0.00,7.56,1.63,0.00,4.95
2019-01-25,20:30:00,-1.92,11.82,5.80,99.90,0.00,7.16,1.58,0.00,4.95
2019-01-25,20:40:00,-1.92,11.81,5.60,99.90,0.00,6.91,1.60,0.00,4.95
2019-01-25,20:50:00,-1.92,11.79,5.40,99.90,0.00,6.63,1.56,0.00,4.95
2019-01-25,21:00:00,-1.92,11.79,5.50,99.90,0.00,6.43,1.55,0.00,4.95
2019-01-25,21:10:00,-1.92,11.78,5.90,99.90,0.00,6.27,1.48,0.00,4.95
2019-01-25,21:20:00,-1.92,11.77,5.90,99.90,0.00,6.24,1.47,0.00,4.95
2019-01-25,21:30:00,-1.92,11.77,5.70,99.90,0.00,6.16,1.45,0.00,4.95
2019-01-25,21:40:00,-1.92,11.76,5.30,99.90,0.00,5.98,1.37,0.00,4.95
2019-01-25,21:50:00,-1.92,11.76,5.30,99.90,0.00,5.73,1.36,0.00,4.95
2019-01-25,22:00:00,-1.92,11.76,5.10,99.90,0.00,5.76,1.30,0.00,4.95
2019-01-25,22:10:00,-1.91,11.75,4.90,99.90,0.00,5.48,1.28,0.00,4.95
2019-01-25,22:20:00,-1.92,11.74,4.60,99.90,0.00,5.26,1.25,0.00,4.95
2019-01-25,22:30:00,-1.92,11.74,4.50,99.90,0.00,5.25,1.24,0.00,4.95
2019-01-25,22:40:00,-1.92,11.73,4.90,99.90,0.00,5.22,1.18,0.00,4.95
2019-01-25,22:50:00,-1.92,11.73,5.30,99.90,0.00,5.37,1.18,0.00,4.95
2019-01-25,23:00:00,-1.92,11.73,5.30,99.90,0.00,5.47,1.10,0.00,4.95
2019-01-25,23:10:00,-1.92,11.71,5.10,99.90,0.00,5.34,1.08,0.00,4.95
2019-01-25,23:20:00,-1.92,11.71,5.20,99.90,0.00,5.36,1.06,0.00,4.95
2019-01-25,23:30:00,-1.92,11.71,4.70,99.90,0.00,5.04,1.01,0.00,4.95
2019-01-25,23:40:00,-1.92,11.71,4.90,99.90,0.00,5.10,1.00,0.00,4.95
2019-01-25,23:50:00,-1.92,11.71,5.50,99.90,0.00,5.45,0.93,0.00,4.95
2019-01-26,00:00:00,-1.92,11.62,4.60,99.90,0.00,5.32,0.89,0.00,4.94
2019-01-26,00:10:00,-1.92,11.71,3.90,99.90,0.00,4.67,0.87,0.00,4.95
2019-01-26,00:20:00,-1.92,11.70,3.90,99.90,0.00,4.47,0.84,0.00,4.95
2019-01-26,00:30:00,-1.92,11.68,3.70,99.90,0.00,4.30,0.84,0.00,4.95
2019-01-26,00:40:00,-1.92,11.68,3.40,99.90,0.00,4.10,0.81,0.00,4.95
2019-01-26,00:50:00,-1.92,11.68,3.00,99.90,0.00,3.79,0.80,0.00,4.95
2019-01-26,01:00:00,-1.92,11.68,3.00,99.90,0.00,3.71,0.80,0.00,4.95
2019-01-26,01:10:00,-1.92,11.67,2.70,99.90,0.00,3.45,0.78,0.00,4.95
2019-01-26,01:20:00,-1.92,11.66,2.60,99.90,0.00,3.32,0.75,0.00,4.95
2019-01-26,01:30:00,-1.92,11.65,2.90,99.90,0.00,3.47,0.73,0.00,4.95
2019-01-26,01:40:00,-1.92,11.65,2.80,99.90,0.00,3.53,0.71,0.00,4.95
2019-01-26,01:50:00,-1.92,11.65,3.00,99.90,0.00,3.41,0.72,0.00,4.95
2019-01-26,02:00:00,-1.92,11.65,3.50,99.90,0.00,3.64,0.66,0.00,4.95
2019-01-26,02:10:00,-1.92,11.63,3.80,99.90,0.00,3.95,0.68,0.00,4.95
2019-01-26,02:20:00,-1.92,11.63,4.10,99.90,0.00,3.81,0.63,0.00,4.95
2019-01-26,02:30:00,-1.92,11.63,3.30,99.90,0.00,3.59,0.59,0.00,4.95
2019-01-26,02:40:00,-1.92,11.63,2.70,99.90,0.00,3.20,0.57,0.00,4.95
2019-01-26,02:50:00,-1.92,11.62,2.90,99.90,0.00,3.20,0.56,0.00,4.95
2019-01-26,03:00:00,-1.92,11.62,2.40,99.90,0.00,3.07,0.54,0.00,4.95
2019-01-26,03:10:00,-1.92,11.62,2.40,99.90,0.00,2.96,0.53,0.00,4.95
2019-01-26,03:20:00,-1.92,11.62,2.00,99.90,0.00,2.71,0.49,0.00,4.95
2019-01-26,03:30:00,-1.92,11.60,1.90,99.90,0.00,2.61,0.50,0.00,4.95
2019-01-26,03:40:00,-1.92,11.60,2.20,99.90,0.00,2.49,0.47,0.00,4.95
2019-01-26,03:50:00,-1.92,11.59,1.80,99.90,0.00,2.31,0.48,0.00,4.95
2019-01-26,04:00:00,-1.92,11.59,1.90,99.90,0.00,2.37,0.45,0.00,4.95
2019-01-26,04:10:00,-1.92,11.59,1.70,99.90,0.00,2.43,0.45,0.00,4.95
2019-01-26,04:20:00,-1.92,11.59,1.40,99.90,0.00,2.12,0.41,0.00,4.95
2019-01-26,04:30:00,-1.92,11.58,1.70,99.90,0.00,2.21,0.43,0.00,4.95
2019-01-26,04:40:00,-1.92,11.58,1.90,99.90,0.00,2.17,0.42,0.00,4.95
2019-01-26,04:50:00,-1.92,11.56,1.80,99.90,0.00,2.20,0.39,0.00,4.95
2019-01-26,05:00:00,-1.92,11.56,1.70,99.90,0.00,2.07,0.42,0.00,4.95
2019-01-26,05:10:00,-1.92,11.56,1.50,99.90,0.00,2.07,0.38,0.00,4.95
